1	Základy sčítání	6WwRwxkLuP0	AuX7nPBqDts	
2	Sčítání 2	6gjWumggSBM	t2L3JFOqTEk	
3	Úroveň 2 – sčítání	T7uDlNfHNB4	27Kp7HJYj2c	
4	Sčítání 3	gUalp-RppUY	e_SpXIw_Qts	
5	Příklady: Písemné sčítání	6cSwsCLThDU	""	
6	Základy odčítání	w6Sx6ygZ2kU	aNqG4ChKShI	
7	Odčítání 2	vvFPMWPJfbI	incKJchBCLo	
8	Odčítání 3: Úvod do odčítání s přechodem přes desítku	ZaqOUE3H1mE	""	
9	Úroveň 4 odčítání	omUfrXtHtN0	""	
10	Odčítání z hlavy	GBtcGO44e-A	GBtcGO44e-A	
11	Proč funguje přenesení hodnoty z vyššího řádu	fWan_T0enj4	""	
12	Základy dělení	MTzTqvzWzm8	""	
13	Písemné dělení: 2-ciferná a 3-ciferná čísla dělená 1-ciferným dělitelem	8Ft5iHhauJ0	""	
14	Základy násobení	mvOkMYCygps	""	
15	Malá násobilka	xO_1bYgoQvA	""	
16	"Násobilka čísel 10, 11 a 12"	qihoczo1Ujk	""	
17	Násobení celých čísel a aplikace 4	tx2Niw7aJJ8	""	
18	Příklad: Porovnávání s pomocí násobení	bS6EmYzpou4	""	
19	Násobení 7	_k3aWF6_b4w	""	
20	Největší společný dělitel	0ZDTeiwuzPk	jFd-6EPfnec	
21	Nejmenší společný násobek (staré)	r9wr11TxEdM	cH-jaMCzIRk	
22	Prvočísla	HYBSlf0P1DA	mIStB5X4U8M	
23	Poznávání prvočísel a složených čísel	tov7xZDOIVs	3h4UK62Qrbo	
24	"Příklad: Dělitelnost čísly 2, 3, 4, 5, 6, 9, 10"	MlwUmRW_YUI	2G_Jr_XpnY4	
25	Příklady: Dělitelnost	LC6RQeNsSic	zWcfVC-oCNw	
26	Příklad: Hledání dělitelů	pwyG1phQbfc	vcn2ruTOwFo	
27	Nejmenší společný násobek	Pl9xa9Eg4KE	D6yHKOYJiso	https://cs.khanacademy.org/v/least-common-multiple-lcm
28	Prvočíselný rozklad	Ala4BZjBbkc	ZKKDTfHcsG0	
29	Vězňovo dilema a Nashova rovnováha	UkXI-zPcDIM	""	
30	Absolutní hodnota a číselná osa	d5Y4FHjOtWw	frBJEYvyd-8	
31	Uspořádání čísel s absolutní hodnotou	l9WdGxfsh6Q	NvGTCzAfvr0	
32	Absolutní hodnota celých čísel	YTJT-HYznlc	r6hS_8nm1jM	
33	Porovnání absolutních hodnot	vUt4vtIumfA	hKkBlcnU9pw	
34	Vlastnosti čísel a absolutní hodnota	IKuVTsz8hZY	ZouQdHSyelg	
35	Základní rovnice a funkce s absolutní hodnotou	NNTltPPq4ek	GwjiR2_7A7Y	
36	Rovnice s absolutní hodnotou 3	z2-yrdgCiyA	LRlVWC0FMQc	
37	Rovnice s absolutní hodnotou 4	4WW5PZP-5J4	jaizi_1IB5c	
38	"Absolutní hodnota - nerovnice, př. 1"	xoDjc8u2W9I	TvUCe6Bomy4	
39	"Proměnné, výrazy a rovnice"	Nrj03ERMgdM	vDqOoI-4Z6M	
40	Práce s výrazy - dosazování	U-ESXnneNhc	AJNDeVt9UOo	
41	Práce s výrazy - dosazování 3	LyPtOzRab-c	BXHNzUaIRR0	
42	Pořadí operací	t0vVtObvyl0	3Po3nfITsok	
