id	title	youtube_id	youtube_id_original	duration	Block ID	Block title
1188	"Annibale Carracci, Ukřižování, 1583"	7Hc08dgjLrM	""	603	106	1300-1600 Renesance
850	"Botticelli, Zrození Venuše, 1483-85"	tdp22elrY7s	""	240	106	1300-1600 Renesance
706	"Petrus Christus, Portrét mladé dívky, kolem. 1470"	bcrsyGxUbkA	""	109	106	1300-1600 Renesance
848	"Donatello, David, bronz, 40. léta 15. století"	6kUUJJV_MNA	""	444	106	1300-1600 Renesance
1558	"Fra Angelico, Zvěstování, 1438-47 n.l."	3B-V_pG3HPQ	""	697	106	1300-1600 Renesance
838	"Duccio, Madona s dítětem, 1300 n.l."	0d9TB0DAOyY	""	286	106	1300-1600 Renesance
2150	"Duccio, Rucellaiská  Madona, 1285-86"	1JL5ZR-ocOs	""	256	106	1300-1600 Renesance
2366	"Lorenzetti, Alegorie spravedlivé vlády a Důsledky dobré  a špatné vlády, 1337-40"	jk3wNadYA7k		618	106	1300-1600 Renesance
1366	"Ambrogio Lorenzetti,  Uvedení Krista do chrámu, 1342"	_lzdhIHLwcQ	""	147	106	1300-1600 Renesance
2234	"Davidovy vázy, 1351"	lfIHzumEghQ	""	287	106	1300-1600 Renesance
355	Leonardo da Vinci - Mona Lisa	wei7uUtM4YE	3kQ_p2EZX4Q	536	106	1300-1600 Renesance
1096	"Ikona svatého Jiří ( ""Černý Jiří""), pozdní 14. století"	OdRBzITeIcs	""	251	106	1300-1600 Renesance
981	"Lineární perspektiva: Brunelleschiho experiement , 1420"	bkNMM8uiMww	""	256	106	1300-1600 Renesance
1751	"Leonardo,Panna a dítě se sv. Annou a sv. Janem, 1499-1500"	L4F2lgyi7FA	""	244	106	1300-1600 Renesance
1733	"Donatello, Svatý Marek, 1411-13"	A8GQfq3U96M	""	335	106	1300-1600 Renesance
1682	"Campin, Mérodský oltář, 1425-28"	WdDzs70Txjs	""	347	106	1300-1600 Renesance
1712	Leonarda da Vinci's - Dopis Vévodovi z Milána	URcpchlTNBY	""	197	106	1300-1600 Renesance
1672	TICE ART 1010  renezační umění	kzhuZmzoX5o	""	626	106	1300-1600 Renesance
1260	"Masaccio, Madona s dítětem, 1426"	6LurHwFfrIA	""	330	106	1300-1600 Renesance
1255	"Masaccio, Svatá Trojice, kolem r. 1427"	Kl4Dcj9o570	""	517	106	1300-1600 Renesance
1646	"Masaccio, Peníz daně, 1427"	oDPNSPbjzQ8	""	484	106	1300-1600 Renesance
1661	"Bosch, Triptych Poslední soud, 1504-08"	Ea6qS3nuvng	""	532	106	1300-1600 Renesance
1614	"Raphael, Aténská škola,  1509-1511"	Smd-q44ysoM	""	642	106	1300-1600 Renesance
1695	"Brunelleschi, Kopule dómu Santa Maria del Fiore, 1420-36"	TQ8F_yPwqzA	""	352	106	1300-1600 Renesance
