id	title	youtube_id	youtube_id_original	duration	hidden
2	Sčítání 2	6gjWumggSBM	t2L3JFOqTEk	738	f
3	Úroveň 2 – sčítání	T7uDlNfHNB4	27Kp7HJYj2c	636	f
4	Sčítání 3	gUalp-RppUY	e_SpXIw_Qts	522	f
7	Odčítání 2	vvFPMWPJfbI	incKJchBCLo	714	f
9	Úroveň 4 odčítání	omUfrXtHtN0	""	528	f
11	Proč funguje přenesení hodnoty z vyššího řádu	fWan_T0enj4	""	515	f
17	Násobení celých čísel a aplikace 4	tx2Niw7aJJ8	""	111	f
19	Násobení 7	_k3aWF6_b4w	""	377	f
21	Nejmenší společný násobek (staré)	r9wr11TxEdM	cH-jaMCzIRk	243	f
29	Vězňovo dilema a Nashova rovnováha	UkXI-zPcDIM	""	561	f
31	Uspořádání čísel s absolutní hodnotou	l9WdGxfsh6Q	NvGTCzAfvr0	191	f
34	Vlastnosti čísel a absolutní hodnota	IKuVTsz8hZY	ZouQdHSyelg	700	f
35	Základní rovnice a funkce s absolutní hodnotou	NNTltPPq4ek	GwjiR2_7A7Y	644	f
36	Rovnice s absolutní hodnotou 3	z2-yrdgCiyA	LRlVWC0FMQc	205	f
37	Rovnice s absolutní hodnotou 4	4WW5PZP-5J4	jaizi_1IB5c	396	f
38	"Absolutní hodnota - nerovnice, př. 1"	xoDjc8u2W9I	TvUCe6Bomy4	193	f
39	"Proměnné, výrazy a rovnice"	Nrj03ERMgdM	vDqOoI-4Z6M	434	f
42	Pořadí operací	t0vVtObvyl0	3Po3nfITsok	868	f
49	Příklady: Sčítání a odčítání záporných čísel	d_w3jiDwUbk	C38B33ZywWs	540	f
56	Vyjádření periodického čísla zlomkem 1	2_M_o8uBY94	FPNhCVZlbJs	251	f
57	Vyjádření periodického čísla zlomkem 2	ErAPEb_EQ5c	Ihws0d-WLzU	557	f
61	Nerovnice - řešení jedním krokem	Rhv9oxPdnh8	17a443nL7Qw	120	f
62	Atomy a prvky	IFKnq9QM6_A	""	789	f
63	Úvod do atomu	1xSQlwWGT8M	""	1265	f
64	"Iontová, kovalentní a kovová vazba"	CGA8sRwqIFg	""	802	f
65	Úvod do stechiometrie	SjQG3rKSZUQ	""	596	f
66	Příklad ochlazování vody	lsXcKgjg8Hs	""	683	f
67	Další příklady na elektronovou konfiguraci	YURReI6OJsg	""	618	f
69	Skupenství	pKvo0XWZtjo	""	1164	f
70	Orbitaly	yBrp8uvNAhI	""	818	f
71	Více o orbitalech a elektronové konfiguraci	FmQoSenbtnU	""	871	f
72	Změna skupenství - příklad	tvO0358YUYM	""	458	f
73	Nerovnice s absolutní hodnotou	nhfOZAxifW0	iI_2Piwn_og	723	f
74	Imaginární a komplexní čísla	C-2Ln0pK3kY	""	595	f
76	Funkce: vztah mezi sudými a lichými čísly	jFazrvLodrA	""	248	f
77	Úvod do matic	xyAuNHPsq-g	""	711	f
81	Jak je to s primáty	oFGkYA_diDA	""	64	f
82	"Příklad, jak určit aritmetický průměr, medián a modus"	k3aKKasOmIw	""	236	f
83	Směrodatná odchylka	HvDqbzu0i0E	""	787	f
84	Salman Khan na konferenci TED	gM95HHI4gLk	""	1228	f
86	The Gates Notes: Učitelé z Los Altos	RoGgxrCsCEQ	""	182	f
87	Vidličkové stromečky	e4MSN6IImpI	""	228	f
88	Möbiův příběh	4mdEsouIXGM	""	435	f
89	Úvod do směn měn	Z92-nPVW9ig	itoNb1lb5hY	603	f
90	Bankovnictví 1	E-HOz8T6tAo	""	709	f
91	Bankovnictví 2	h3lMANILkw0	""	719	f
92	Forwardový kontrakt - úvod	H9UEZdAnnt8	""	191	f
93	Stagflace	bTz_tx460EY	""	176	f
94	Francouzská revoluce	BDWqwcTtZa0	""	1025	f
95	Komunismus	MmRgMAZyYN0	""	904	f
96	Když je kapitalismus skvělý a ne tak skvělý	8NJEeEUUhaI	""	828	f
98	Úvod do pravděpodobnosti	uzkc-qNVoOk	""	498	f
99	Úvod do kvadratických rovnic	IWigvJcCAJ0	""	555	f
100	Úvod do vektorových a skalárních veličin	0HzLhTK8emQ	ihNZlp7iUHE	457	f
101	Výpočet času	awzOvyMKeMA	""	575	f
102	Výpočet průměrné rychlosti	oRKxmXwLvUU	""	705	f
103	Příklad výpočtu dráhy z času a rychlosti	lQ-dvt3V4yQ	""	300	f
104	Zrychlení	FOkQszg1-j8	""	546	f
105	Druhý Newtonův pohybový zákon	ou9YMWlJgkE	""	434	f
106	Úvod do gravitace	Xcel427Ezl0	""	943	f
107	Čas potřebný k vzletu letadla	p4DTormtEG0	""	488	f
108	Pohyb těles – volný pád	15zliAL4llE	""	549	f
109	Pohyb těles – vrh svisle vzhůru a volný pád	emdHj6WodLw	""	555	f
110	Co to jsou tekutiny?	Pn5YEMwQb4Y	""	587	f
111	Tlak v tekutinách a Pascalův zákon	lWDtFHDVqqk	""	613	f
113	Kapacita	ngOC4eUQl8Y	""	815	f
114	Úvod do elektrických obvodů a Ohmův zákon	F_vLWkkOETI	""	587	f
115	Sériové zapojení rezistorů	7vHh1sfZ5KE	""	668	f
116	Paralelní zapojení rezistorů	ZrMw7P6P2Gw	""	740	f
117	Sério-paralelní zapojení rezistorů	3NcIK0s3IwU	""	427	f
118	Úvod do magnetismu	8Y4JSp5U82I	""	644	f
119	Magnetická pole a pohybující se částice	NnlAI4ZiUrQ	""	539	f
120	Proton v magnetickém poli 1	LTuGQy4rmmo	""	648	f
121	Proton v magnetickém poli 2	b1QFKLZC11U	""	639	f
122	Magnetické pole tvořené proudem	Ri557hvwhcM	""	582	f
123	"Elektromotory, 1. část"	pAgPfr7MkkU	""	636	f
124	Elektrická potenciální energie	elJUghWSVh4	""	757	f
125	Lom světla a Snellův zákon	y55tzg_jW9I	""	864	f
126	Lineární rovnice 9	ApGe03g1djU	bAerID24QJ0	452	f
127	Lineární rovnice 5	tL976zeQSzc	9DxrF6Ttws4	759	f
128	Vyjádření neznámé ze vzorce 3	zcD0hW5mhQA	Aig1hkq3OsU	423	f
130	Vyjádření neznámé ze vzorce 4	1orkTAR1_HA	Aig1hkq3OsU	94	f
131	Vyjádření neznámé ze vzorce 2	32PBuDGkvgU	BR5yFOt0zao	165	f
132	Lineární rovnice 10	WVsvHMZOn38	DopnmxeMt-s	370	f
135	Lineární rovnice 12	ICqC7DF2vFs	tuVd355R-OQ	840	f
136	Definice nových operátorů	GVOdXyM1gI4	ND-Bbp_q46s	414	f
139	Lineární rovnice 14	dSN88E2Or4E	xMsG9hvqzbY	573	f
140	Lineární rovnice 15	z59L8bOzlv0	a5uNoOnEy_A	902	f
141	Lineární rovnice 11	5zqdlMYcnlc	a5uNoOnEy_A	278	f
142	Lineární rovnice 13	W_0mOd7qaHE	CJyVct57-9s	349	f
145	Lineární rovnice 13	PU_EiSakx9E	zKotuhQWIRg	117	f
146	Lineární rovnice s neznámou ve jmenovateli	OJoEi6ihTdc	9IUEk9fn2Vs	468	f
147	Součet po sobě jdoucích celých čísel 1	lgwjWiMOeWY	d8De3xcVmnw	282	f
148	Součet po sobě jdoucích celých čísel 2	l0mNHqWIJLw	W254ewkkMck	607	f
149	Vyjádření neznámé ze vzorce 5	S9gC7hfupQI	eTSVTTg_QZ4	152	f
150	Slovní úloha - řešení rovnicí 1	vLf0snP2WyM	cNlwi6lUCEM	490	f
151	Výpočet rychlosti	Z0qL-vyuCZM	7WXijfIZh64	256	f
152	Aritmetický průměr	sPxWcmrdWdo	9VZsMY15xeU	525	f
155	Slovní úlohy	O0DzocI0r-0	LRKMoqrMbGw	676	f
156	Procenta 2	zM3URjofwz0	_SpE4hQ8D_o	612	f
159	Procenta - slovní úlohy 2	CD1d3L9K7bo	4oeoIOan_h4	549	f
160	Přímá úměrnost 1	ZrPDloS8boE	rSadG6EtJmY	227	f
161	Přímá úměrnost 2	fO8gXFF5KdY	c6-FJRda_Vc	107	f
162	Přímá úměrnost 3	p_w-gz5btkI	ZsjfUUJUq9s	107	f
163	Úloha o pohybu	OsFRCWybebU	uA3m8vbd2wc	432	f
164	Slovní úloha - výpočet věku 1	lcZVO3CdEu0	bAUT_Pux73w	422	f
165	Slovní úloha - výpočet věku 2	gObQlUmNIl0	pPqPj8CAPvI	599	f
166	Slovní úloha - výpočet věku 3	g5ibI0QMNNM	DplUpe3oyWo	246	f
167	Poměr	c9nFMCoZFr8	96ZEmUbnuU8	352	f
168	Řady 1	RTrXmsGucbs	Zj-a_9cd5jc	156	f
169	Řady 2	sWegF0TE5dw	zIcxrhyJs6M	298	f
171	Řady 4	wcd7QrDAO9s	JtsyP0tnVRY	359	f
172	Lineární funkce	N5HU0L30ygg	YB1XuQ1Pc5s	166	f
173	Rovnice s absolutní hodnotou rovnou nule	9UFjt9wauk0	GwjiR2_7A7Y	160	f
177	Parametrizace povrchů 2	bJ_09eoCmag	""	993	f
179	Dvojité integrály 3	z8BM6cHifPA	""	483	f
181	"Mitóza, meióza a pohlavní rozmnožování"	kaSIjIzAtYA	""	1104	f
182	Embryonální kmenové buňky	-yCIMk1x0Pk	""	1195	f
183	Hádanka o panu Pravdomluvném a panu Lháři	69rDtSpshAw	""	409	f
185	Zjednodušování výrazů	Hfihqi82M4A	""	784	f
186	Výrazy s proměnnými	aoXUWSwiDzE	""	747	f
187	Vzory a rovnice	rUT0pa87m7E	""	798	f
188	Rovnice a nerovnice	7xd2gvRwPxE	hJ-_OoCHTks	688	f
189	Definiční obor a obor hodnot funkce	O0uUVH8dRiU	""	772	f
190	Funkce - grafické znázornění	jQ-fS2lsslU	""	575	f
191	Slovní úlohy - řešení 1	Xz6rT9k8ftg	""	612	f
192	Postupy pro řešení slovních úloh	SpDIXJ2I2D4	""	771	f
194	Nerovnice na číselné ose	0czeZwl3ZRM	dTwZ5N126gw	85	f
199	Konstrukce pomocí kružítka	79lagkER9qY	""	769	f
200	Obvod a obsah	kqqmJiJez6o	""	740	f
201	PBS NewsHour o Khan Academy	HycjWQcAymQ	""	370	f
202	Nerovnice s absolutní hodnotou 3	x5EJG_rAtkY	""	450	f
204	Nerovnice s absolutní hodnotou 4	y9MGpOGQVqQ	""	155	f
206	Proč není definováno dělení nulou?	SQzjzStU1RQ	""	248	f
210	Váhy: Popis vztahu jednoduchou rovnicí	uC2YG_IywDQ	XN48Ba9Ncr8	207	f
211	"Magnetická síla mezi vodiči, 2. část"	4tctB1wZNiI	""	661	f
212	Úvod do evoluce a přirozeného výběru	GcjgWov7mTM	""	1059	f
213	Proč dělíme obě strany rovnice	Ye13MIPv6n0	""	194	f
214	Slovní úloha na odčítání	HL9bnYxUib8	QY8vv7eVVJE	333	f
216	Příklad: tahání kuliček	yUaI0JriZtY	""	176	f
217	Sčítání desetinných čísel s rozdílnými znaménky - slovní úloha	fFdOr8U4mnI	""	195	f
218	Násobení 4: dvouciferné krát jednociferné číslo	OYYYc7ygd38	""	728	f
222	Evoluce - Objasnění	nh1R-gyY7es	""	541	f
223	Vodiče a magnetická síla	jQ2nD8ZGeEw	""	655	f
224	Řecká dluhová krize a úsporná opatření	wtg917JKkFY	9p10aMu1Glo	440	f
229	Hladiny krevního cukru	JSFiOF7xGfE	""	535	f
237	Appomattox Court House a zavraždění Lincolna.	Frpq_A7Ky_Q	""	361	f
238	Využití nerovnic s absolutní hodnotou v praxi	RHe9X2HDEjA	""	278	f
